index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
375;Co1 Cr0.556 Fe0.667 Ni0.667;;0.346;0.231;0.231;;0.192;;;;;;;;;;;FCC;WROUGHT;8.3;T;299;11.31033688;2.90096;1837.042;1.83314;1.54919;0.088782546;0.376577852;145.501664;0.03812621
376;Co1 Cr0.455 Fe0.364 Ni0.364;;0.458;0.167;0.167;;0.208;;;;;;;;;;;FCC ++;WROUGHT;8.3;T;392;10.65368042;2.82032;1842.962;1.8309;1.55079;0.09068732;0.357485241;148.9954313;0.038400181
377;Co1 Cr0.385 Fe0.154 Ni0.154;;0.591;0.091;0.091;;0.227;;;;;;;;;;;FCC ++;WROUGHT;8.4;T;482;9.005230626;2.72456;1849.992;1.82824;1.55269;0.092828349;0.307018902;152.7429996;0.038685869
378;Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;;0.206;0.195;0.209;;0.199;0.191;;;;;;;;;;BCC;WROUGHT;8;T;1290;13.36977727;4.09134;1791.31;1.76971;1.56658;0.137634356;2.364667462;195.3268438;0.039234928
379;Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;;0.206;0.195;0.209;;0.199;0.191;;;;;;;;;;FCC BCC;WROUGHT;8;T;1135;13.36977727;4.09134;1791.31;1.76971;1.56658;0.137634356;2.364667462;195.3268438;0.039234928
380;Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;;0.206;0.195;0.209;;0.199;0.191;;;;;;;;;;FCC BCC;WROUGHT;8;T;585;13.36977727;4.09134;1791.31;1.76971;1.56658;0.137634356;2.364667462;195.3268438;0.039234928
381;Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;;0.206;0.195;0.209;;0.199;0.191;;;;;;;;;;FCC ++;WROUGHT;8;T;425;13.36977727;4.09134;1791.31;1.76971;1.56658;0.137634356;2.364667462;195.3268438;0.039234928
382;Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;;0.206;0.195;0.209;;0.199;0.191;;;;;;;;;;FCC;WROUGHT;8;T;270;13.36977727;4.09134;1791.31;1.76971;1.56658;0.137634356;2.364667462;195.3268438;0.039234928
383;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;293.1;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
384;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;985;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
385;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;972;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
386;Hf1 Nb1 Ta1 Ti1 Zr1;;;;;;;;0.2;;0.2;;;0.2;0.2;0.2;;BCC;WROUGHT;9.9;T;967;13.37442905;3.194;2522.4;1.454;1.976;0.118253964;0.129089117;475.6740901;0.057754424
387;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;WROUGHT;8.5;T;276;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
388;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;WROUGHT;8.5;T;217;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
389;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;WROUGHT;8.5;T;201;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
390;Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286;;;;;;0.12;;0.42;0.2;0.13;;0.12;;0.01;;;BCC ++;POWDER;8;C;2680;12.51803009;3.1433;2531.78;1.718;1.8648;0.233375234;0.153264836;362.4060314;0.066419256
391;Hf1 Mo1 Nb1 Ti1 Zr1;;;;;;;;0.2;0.2;0.2;;;0.2;;0.2;;BCC;CAST;8.7;C;1719;13.37442905;3.162;2443;1.59;1.956;0.316985804;0.118220134;359.321583;0.059761306
392;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;529;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
393;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;522;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
394;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;460;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
395;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;407;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
396;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;372;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
397;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;322;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
398;Co1 Mn1 Ni1;;0.333;;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.4;T;333;9.128644494;4.97502;1668.996;1.77822;1.53846;0.163023205;2.807952809;109.2629687;0.033142189
399;Co1 Mn1 Ni1;;0.333;;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.4;T;601;9.128644494;4.97502;1668.996;1.77822;1.53846;0.163023205;2.807952809;109.2629687;0.033142189
400;Co1 Mn1 Ni1;;0.333;;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.4;T;321;9.128644494;4.97502;1668.996;1.77822;1.53846;0.163023205;2.807952809;109.2629687;0.033142189
401;Co1 Mn1 Ni1;;0.333;;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.4;T;267;9.128644494;4.97502;1668.996;1.77822;1.53846;0.163023205;2.807952809;109.2629687;0.033142189
402;Co1 Cr0.25 Ni1;;0.444;;0.444;;0.111;;;;;;;;;;;FCC;WROUGHT;8.7;T;745;8.019128892;3.00033;1787.766;1.86702;1.5207;0.075180821;0.477031457;121.9349088;0.03335347
403;Co1 Cr0.25 Ni1;;0.444;;0.444;;0.111;;;;;;;;;;;FCC;WROUGHT;8.7;T;623;8.019128892;3.00033;1787.766;1.86702;1.5207;0.075180821;0.477031457;121.9349088;0.03335347
404;Co1 Cr0.25 Ni1;;0.444;;0.444;;0.111;;;;;;;;;;;FCC;WROUGHT;8.7;T;387;8.019128892;3.00033;1787.766;1.86702;1.5207;0.075180821;0.477031457;121.9349088;0.03335347
405;Co1 Cr0.25 Ni1;;0.444;;0.444;;0.111;;;;;;;;;;;FCC;WROUGHT;8.7;T;330;8.019128892;3.00033;1787.766;1.86702;1.5207;0.075180821;0.477031457;121.9349088;0.03335347
406;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;631;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
407;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;494;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
408;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;448;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
409;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;273;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
410;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;172;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
411;Co0.25 Cr1 Ni1;;0.111;;0.444;;0.444;;;;;;;;;;;FCC;WROUGHT;8.1;T;518;8.019128892;3.13353;1908.312;1.79376;1.56732;0.121526489;0.362844083;196.8843924;0.052290299
412;Co0.25 Cr1 Ni1;;0.111;;0.444;;0.444;;;;;;;;;;;FCC;WROUGHT;8.1;T;462;8.019128892;3.13353;1908.312;1.79376;1.56732;0.121526489;0.362844083;196.8843924;0.052290299
413;Co0.25 Cr1 Ni1;;0.111;;0.444;;0.444;;;;;;;;;;;FCC;WROUGHT;8.1;T;395;8.019128892;3.13353;1908.312;1.79376;1.56732;0.121526489;0.362844083;196.8843924;0.052290299
414;Co0.25 Cr1 Ni1;;0.111;;0.444;;0.444;;;;;;;;;;;FCC;WROUGHT;8.1;T;356;8.019128892;3.13353;1908.312;1.79376;1.56732;0.121526489;0.362844083;196.8843924;0.052290299
415;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;CAST;8;T;210;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
416;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;1150;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
417;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;1300;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
418;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;1050;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
419;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;560;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
420;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;520;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
421;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;320;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
422;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;280;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
423;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;OTHER;CAST;6.7;C;1631;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
424;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;OTHER;CAST;6.7;C;1209;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
425;Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182;;0.175;0.55;0.1;;0.125;;;0.05;;;;;;;;FCC ++;WROUGHT;8.2;T;443;10.585322;2.885;1887.45;1.843;1.5755;0.103179455;0.261925562;258.4333521;0.055186812
426;Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127;;0.18;0.55;0.07;;0.125;;;0.075;;;;;;;;FCC ++;WROUGHT;8.2;T;711;10.61870498;2.87045;1916.91;1.8496;1.5859;0.115385614;0.242126615;301.0624385;0.062676805
427;Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182;;0.175;0.55;0.1;;0.125;;;0.05;;;;;;;;FCC ++;WROUGHT;8.2;T;301;10.585322;2.885;1887.45;1.843;1.5755;0.103179455;0.261925562;258.4333521;0.055186812
428;Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127;;0.18;0.55;0.07;;0.125;;;0.075;;;;;;;;FCC ++;WROUGHT;8.2;T;684;10.61870498;2.87045;1916.91;1.8496;1.5859;0.115385614;0.242126615;301.0624385;0.062676805
429;Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182;;0.175;0.55;0.1;;0.125;;;0.05;;;;;;;;FCC ++;WROUGHT;8.2;T;261;10.585322;2.885;1887.45;1.843;1.5755;0.103179455;0.261925562;258.4333521;0.055186812
430;Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127;;0.18;0.55;0.07;;0.125;;;0.075;;;;;;;;FCC ++;WROUGHT;8.2;T;506;10.61870498;2.87045;1916.91;1.8496;1.5859;0.115385614;0.242126615;301.0624385;0.062676805
431;Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182;;0.175;0.55;0.1;;0.125;;;0.05;;;;;;;;FCC ++;WROUGHT;8.2;T;231;10.585322;2.885;1887.45;1.843;1.5755;0.103179455;0.261925562;258.4333521;0.055186812
432;Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127;;0.18;0.55;0.07;;0.125;;;0.075;;;;;;;;FCC ++;WROUGHT;8.2;T;296;10.61870498;2.87045;1916.91;1.8496;1.5859;0.115385614;0.242126615;301.0624385;0.062676805
433;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;FCC BCC;CAST;8.1;T;615;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
434;Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286;;0.1;0.35;0.25;;0.15;0.05;;;;;0.1;;;;;FCC;WROUGHT;7.9;T;401;13.36981743;3.317;1852.8;1.7955;1.571;0.113643082;1.321246003;179.4270325;0.04563133
435;Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286;;0.1;0.35;0.25;;0.15;0.05;;;;;0.1;;;;;FCC;WROUGHT;7.9;T;350;13.36981743;3.317;1852.8;1.7955;1.571;0.113643082;1.321246003;179.4270325;0.04563133
436;Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286;;0.1;0.35;0.25;;0.15;0.05;;;;;0.1;;;;;FCC;WROUGHT;7.9;T;312;13.36981743;3.317;1852.8;1.7955;1.571;0.113643082;1.321246003;179.4270325;0.04563133
437;Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286;;0.1;0.35;0.25;;0.15;0.05;;;;;0.1;;;;;FCC;WROUGHT;7.9;T;240;13.36981743;3.317;1852.8;1.7955;1.571;0.113643082;1.321246003;179.4270325;0.04563133
438;Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286;;0.1;0.35;0.25;;0.15;0.05;;;;;0.1;;;;;FCC;WROUGHT;7.9;T;210;13.36981743;3.317;1852.8;1.7955;1.571;0.113643082;1.321246003;179.4270325;0.04563133
439;Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5;0.333;0.167;0.167;0.167;;0.167;;;;;;;;;;;BCC B2;CAST;5.9;C;1241;12.97799058;3.31592;1551.833;1.75189;1.43335;0.126684042;0.593499856;455.1661793;0.129438009
440;Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111;0.3;0.167;0.167;0.167;;0.167;;;;0.033;;;;;;;BCC B2;CAST;5.9;C;1324;13.87207974;3.27995;1585.229;1.74958;1.45249;0.129817771;0.581229705;445.678563;0.129742397
441;Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333;0.25;0.167;0.167;0.167;;0.167;;;;0.083;;;;;;;BCC B2;CAST;6.1;C;1566;14.53181473;3.22545;1635.829;1.74608;1.48149;0.134351141;0.557729975;425.9502697;0.127666898
442;Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667;0.2;0.167;0.167;0.167;;0.167;;;;0.133;;;;;;;BCC B2;CAST;6.2;C;1503;14.83969269;3.17095;1686.429;1.74258;1.51049;0.138648219;0.527601101;398.9013459;0.12270427
443;Al1 Co1 Cr1 Fe1 Ni1 Ti1;0.167;0.167;0.167;0.167;;0.167;;;;0.167;;;;;;;BCC B2;CAST;6.2;C;1448;14.90266362;3.13793;1721.77;1.74181;1.53139;0.141536667;0.503579809;376.3705315;0.117820872
444;Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1;0.133;0.167;0.167;0.167;;0.167;;;;0.2;;;;;;;BCC B2;CAST;6.3;C;1272;14.83969269;3.09792;1754.233;1.73789;1.54935;0.144072584;0.474595598;348.1448551;0.111445304
445;Hf1 Nb1 Ta1 Ti1 W1 Zr1;;;;;;;;0.167;;0.167;;;0.167;0.167;0.167;0.167;BCC ++;CAST;11.2;C;1550;14.90266362;3.19471;2723.269;1.60821;1.97227;0.354852046;0.118811026;616.6964105;0.053623172
446;Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1;;;;;;;;0.143;0.143;0.143;;;0.143;0.143;0.143;0.143;BCC ++;CAST;11.1;C;1637;16.1783697;3.18461;2746.029;1.68883;1.96053;0.385153058;0.111126004;574.0483459;0.05136368
447;Nb1 Ti1 Zr1;;;;;;;;0.333;;0.333;;;0.333;;;;BCC;CAST;6.5;C;1223;9.128644494;3.15684;2269.395;1.48851;1.9314;0.11571006;0.151174653;340.7010263;0.065648376
448;Hf1 Nb1 Ti1 Zr1;;;;;;;;0.25;;0.25;;;0.25;;0.25;;BCC;CAST;8.4;C;1000;11.52010614;3.1675;2329.75;1.4425;1.97;0.129687123;0.131600722;311.8688627;0.064409023
449;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;CAST;8.2;C;163;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
450;Co1 Cr1 Fe1 Ni1 W0.2;;0.238;0.238;0.238;;0.238;;;;;;;;;;0.048;FCC;CAST;8.9;C;335;12.56751174;2.96008;1946.176;1.84592;1.57538;0.149084384;0.357388855;422.4715482;0.064301838
451;Co1 Cr1 Fe1 Ni1 W0.5;;0.222;0.222;0.222;;0.222;;;;;;;;;;0.111;FCC ++;CAST;9.8;C;556;13.13405602;2.97036;2060.049;1.87812;1.59729;0.192555267;0.34874121;596.3283481;0.082465773
452;Cr1 Fe1 Mo1 Nb1 V1;;;0.2;;;0.2;;0.2;0.2;;;0.2;;;;;BCC ++;CAST;8.1;C;2663;13.37442905;3.048;2347.8;1.78;1.762;0.215313725;0.159172862;407.1581511;0.088098106
453;Cr1 Fe1 Mo1 Nb1 Ti1;;;0.2;;;0.2;;0.2;0.2;0.2;;;;;;;BCC ++;CAST;7.6;C;1647;13.37442905;3.032;2304.2;1.762;1.772;0.230338881;0.164121906;435.3115666;0.08642975
454;Fe1 Mo1 Nb1 Ti1 V1;;;0.2;;;;;0.2;0.2;0.2;;0.2;;;;;BCC B2;CAST;7.4;C;1707;13.37442905;3.056;2310.8;1.756;1.782;0.23328952;0.152918279;432.8636737;0.082504943
455;Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1;0.062;;0.208;0.417;;0.208;;;;;0.104;;;;;;FCC;WROUGHT;7.8;T;62;11.84786402;3.29392;1737.716;1.81981;1.51505;0.110107926;0.368832109;297.3145009;0.073654018
456;Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1;0.062;;0.208;0.417;;0.208;;;;;0.104;;;;;;FCC ++;WROUGHT;7.8;T;350;11.84786402;3.29392;1737.716;1.81981;1.51505;0.110107926;0.368832109;297.3145009;0.073654018
457;Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1;0.062;;0.208;0.417;;0.208;;;;;0.104;;;;;;FCC ++;WROUGHT;7.8;T;535;11.84786402;3.29392;1737.716;1.81981;1.51505;0.110107926;0.368832109;297.3145009;0.073654018
458;Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1;0.062;;0.208;0.417;;0.208;;;;;0.104;;;;;;FCC ++;WROUGHT;7.8;T;255;11.84786402;3.29392;1737.716;1.81981;1.51505;0.110107926;0.368832109;297.3145009;0.073654018
459;Co1 Cr1 Fe1 Ni1 Ti0.3;;0.233;0.233;0.233;;0.233;;;;0.07;;;;;;;FCC;WROUGHT;7.8;T;540;12.82904684;2.9559;1867.806;1.80404;1.57479;0.117608669;0.350863905;155.8031029;0.051268501
460;Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2;;0.116;0.233;0.349;;0.233;;;;0.07;;;;;;;FCC;WROUGHT;7.8;T;586;12.31747992;3.07055;1861.166;1.80564;1.56979;0.120259412;0.352563859;159.2888236;0.053146975
461;Cr0.5 Fe0.5 Ni1 Ti0.15;;;0.233;0.465;;0.233;;;;0.07;;;;;;;FCC;WROUGHT;7.8;T;672;10.14681792;3.18771;1856.294;1.80912;1.56631;0.122819953;0.313514834;162.614621;0.05487794
462;Hf0.25 Ti1 V0.5 Zr0.5;;;;;;;;;;0.444;;0.222;0.222;;0.111;;BCC;CAST;6.5;C;1160;10.57659246;3.05361;2094.126;1.48518;1.84926;0.123055305;0.117737564;172.7118248;0.083093566
463;Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5;;;;;;;;0.053;;0.421;;0.211;0.211;;0.105;;BCC;CAST;6.6;C;1115;11.74318651;3.07266;2132.492;1.4942;1.85977;0.122541396;0.126990409;221.7691865;0.081973893
464;Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5;;;;;;;;0.1;;0.4;;0.2;0.2;;0.1;;BCC;CAST;6.7;C;1065;12.22241844;3.081;2160.8;1.498;1.864;0.12163881;0.133450365;253.7754125;0.080942829
465;Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5;;;;;;;;0.143;;0.381;;0.19;0.19;;0.095;;BCC;CAST;6.8;C;1025;12.46887851;3.0883;2186.321;1.50144;1.8676;0.120562035;0.138345629;276.911994;0.079880499
466;Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5;;;;;;;;0.182;;0.364;;0.182;0.182;;0.091;;BCC;CAST;6.9;C;980;12.59981446;3.10401;2215.85;1.50878;1.87642;0.11969682;0.142068638;294.203023;0.078743745
467;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;1190;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
468;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;1170;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
469;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;1030;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
470;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;970;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
471;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;850;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
472;Cr1 Cu1 Fe1 Mn1 Ni1;;;0.2;0.2;;0.2;0.2;;;;0.2;;;;;;OTHER;WROUGHT;8.1;T;470;13.37442905;4.362;1707.6;1.77;1.554;0.141844986;2.294475103;263.9739381;0.049277194
473;Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1;;0.189;0.189;0.396;;0.189;;0.038;;;;;;;;;FCC ++;CAST;8.3;T;170;11.93086789;3.08424;1866.126;1.83209;1.56114;0.102384011;0.393101461;229.2287905;0.066686496
474;Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1;;0.182;0.182;0.382;;0.182;;0.073;;;;;;;;;FCC ++;CAST;8.4;T;640;12.37293493;3.0925;1897.99;1.82376;1.5764;0.109359787;0.388084664;278.6530925;0.081836145
475;Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1;;0.189;0.189;0.396;;0.189;;0.038;;;;;;;;;FCC ++;ANNEAL;8.3;T;560;11.93086789;3.08424;1866.126;1.83209;1.56114;0.102384011;0.393101461;229.2287905;0.066686496
476;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC ++;POWDER;6.7;C;1221.1;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
477;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC ++;POWDER;6.7;C;1186.7;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
478;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC ++;POWDER;6.7;C;1112.9;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
479;Cr1 Mo1 Nb1 Ti1 W1;;;;;;0.2;;0.2;0.2;0.2;;;;;;0.2;BCC ++;POWDER;9.9;C;2500;13.37442905;3.092;2681.6;1.868;1.846;0.335284953;0.143861044;620.2317631;0.064059569
480;Cr1 Mo1 Nb1 Ti1 W1;;;;;;0.2;;0.2;0.2;0.2;;;;;;0.2;BCC ++;POWDER;9.9;C;1260;13.37442905;3.092;2681.6;1.868;1.846;0.335284953;0.143861044;620.2317631;0.064059569
481;Cr1 Mo1 Nb1 Ti1 W1;;;;;;0.2;;0.2;0.2;0.2;;;;;;0.2;BCC ++;POWDER;9.9;C;1630;13.37442905;3.092;2681.6;1.868;1.846;0.335284953;0.143861044;620.2317631;0.064059569
482;Cr1 Mo1 Nb1 Ti1 W1;;;;;;0.2;;0.2;0.2;0.2;;;;;;0.2;BCC ++;POWDER;9.9;C;2030;13.37442905;3.092;2681.6;1.868;1.846;0.335284953;0.143861044;620.2317631;0.064059569
483;Cr1 Mo1 Nb1 Ti1 W1;;;;;;0.2;;0.2;0.2;0.2;;;;;;0.2;BCC ++;POWDER;9.9;C;1920;13.37442905;3.092;2681.6;1.868;1.846;0.335284953;0.143861044;620.2317631;0.064059569
484;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;POWDER;6.7;C;520;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
485;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC B2;POWDER;6.7;C;1150;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
